,playerID,BA,2B/AB,3B/AB,HR/AB,RBI/G,R/G,BB/G,SB/G,HBP/G,fantasy_ppg,starting_pitcher_hand,ppg_vs_hand,fantasy_points,wind_factor,temp,starting_p_rpip,position_2.0,position_3.0,position_4.0,position_5.0,position_6.0,position_7.0,position_8.0,position_9.0,position_10.0,position_11.0
3083,tabatjo01,0.2751256281407035,0.05087939698492462,0.009422110552763818,0.010678391959798994,0.2475442043222004,0.4086444007858546,0.25343811394891946,0.09233791748526522,0.03929273084479371,0.0,L,0.0,0.0,5.0,67.0,0.2957565366480926,0,0,0,0,0,0,0,1,0,0
2539,preslal01,0.2633832976445396,0.03568879371877231,0.013561741613133477,0.02069950035688794,0.24666666666666667,0.3488888888888889,0.18,0.06666666666666667,0.013333333333333334,0.0,L,0.0,9.2,5.0,67.0,0.2957565366480926,0,0,0,0,0,1,0,0,0,0
2012,mccutan01,0.28469691950977144,0.05680688969857569,0.007949652202716132,0.04024511427625042,0.5275200989486704,0.6023500309214594,0.5225726654298083,0.11811997526283241,0.04514533085961658,0.0,L,0.0,3.0,5.0,67.0,0.2957565366480926,0,0,0,0,0,0,1,0,0,0
1174,gordode01,0.28593709383935534,0.03223290876007279,0.014036911879386535,0.004678970626462178,0.23353293413173654,0.530938123752495,0.16766467065868262,0.3323353293413174,0.031936127744510975,0.0,R,0.0,15.2,5.0,67.0,0.552263182454503,0,0,0,0,1,0,0,0,0,0
896,ellisma01,0.26245847176079734,0.05022474105921439,0.004885675200312683,0.02051983584131327,0.3832752613240418,0.4808362369337979,0.30522648083623694,0.05714285714285714,0.05226480836236934,0.0,R,0.0,0.0,5.0,67.0,0.552263182454503,0,0,1,0,0,0,0,0,0,0
1631,kempma01,0.2840534171249018,0.05310290652003142,0.005813040062843677,0.04509033778476041,0.5891428571428572,0.5428571428571428,0.296,0.10514285714285715,0.014857142857142857,0.0,R,0.0,3.5,5.0,67.0,0.552263182454503,0,0,0,0,0,0,1,0,0,0
925,ethiean01,0.28479166666666667,0.063125,0.007083333333333333,0.03375,0.47216494845360824,0.44054982817869415,0.35670103092783506,0.01993127147766323,0.03986254295532646,0.0,R,0.0,21.7,5.0,67.0,0.552263182454503,0,0,0,0,0,0,0,1,0,0
2021,mcgehca01,0.2576840600428878,0.05039313795568263,0.002144388849177984,0.02394567548248749,0.4470588235294118,0.3352941176470588,0.29294117647058826,0.00823529411764706,0.009411764705882352,0.0,L,0.0,9.0,5.0,67.0,0.2957565366480926,0,0,0,1,0,0,0,0,0,0
3314,walkene01,0.26707396901592845,0.051931049530874976,0.0048003491162993675,0.03251145537857299,0.4663093415007657,0.4678407350689127,0.35222052067381315,0.02450229709035222,0.04211332312404288,0.0,L,0.0,0.0,5.0,67.0,0.2957565366480926,0,0,1,0,0,0,0,0,0,0
157,barajro01,0.23468208092485549,0.054046242774566475,0.00028901734104046245,0.03930635838150289,0.43087971274685816,0.35547576301615796,0.18581687612208259,0.0017953321364452424,0.04129263913824058,0.0,L,0.0,0.0,5.0,67.0,0.2957565366480926,1,0,0,0,0,0,0,0,0,0
